"filename", "language", "C++", "comment", "blank", "total"
"/home/ladev325/Documents/Progs/C++/image-editor/src/layer_system/layer/Layer.cpp", "C++", 31, 0, 8, 39
"/home/ladev325/Documents/Progs/C++/image-editor/src/layer_system/layer/Layer.h", "C++", 15, 0, 3, 18
"/home/ladev325/Documents/Progs/C++/image-editor/src/layer_system/layer_container/LayerContainer.cpp", "C++", 126, 11, 27, 164
"/home/ladev325/Documents/Progs/C++/image-editor/src/layer_system/layer_container/LayerContainer.h", "C++", 28, 0, 3, 31
"/home/ladev325/Documents/Progs/C++/image-editor/src/layer_system/layer_viewer/LayerViewer.cpp", "C++", 212, 14, 38, 264
"/home/ladev325/Documents/Progs/C++/image-editor/src/layer_system/layer_viewer/LayerViewer.h", "C++", 37, 0, 6, 43
"/home/ladev325/Documents/Progs/C++/image-editor/src/main.cpp", "C++", 41, 8, 16, 65
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/antialiased/Antialiased.cpp", "C++", 18, 0, 3, 21
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/antialiased/Antialiased.h", "C++", 11, 0, 3, 14
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/brush/Brush.cpp", "C++", 78, 0, 14, 92
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/brush/Brush.h", "C++", 22, 0, 2, 24
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/buffered/Buffered.cpp", "C++", 16, 0, 2, 18
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/buffered/Buffered.h", "C++", 13, 0, 2, 15
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/colored/Colored.cpp", "C++", 9, 0, 3, 12
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/colored/Colored.h", "C++", 11, 0, 2, 13
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/config.h", "C++", 12, 0, 2, 14
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/include.h", "C++", 3, 0, 0, 3
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/mode/Mode.h", "C++", 17, 0, 1, 18
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/moded/Moded.h", "C++", 14, 0, 2, 16
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/pencil/Pencil.cpp", "C++", 75, 0, 12, 87
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/pencil/Pencil.h", "C++", 18, 0, 2, 20
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/thick/Thick.cpp", "C++", 9, 0, 3, 12
"/home/ladev325/Documents/Progs/C++/image-editor/src/mode_system/thick/Thick.h", "C++", 10, 0, 2, 12
"Total", "-", 826, 33, 156, 1015